iter	MultiLogloss
0	0.6918747409
1	0.6905779243
2	0.689287558
3	0.6880038951
4	0.686726309
5	0.6854550771
6	0.6840831309
7	0.6828491941
8	0.6815965
9	0.6803569429
10	0.6791147041
11	0.6778885447
12	0.6766638762
13	0.6754670378
14	0.6742509883
15	0.6730454211
16	0.6718408504
17	0.670663186
18	0.6694806282
19	0.6683065794
20	0.6671326706
21	0.6659578455
22	0.6647888533
23	0.6636256641
24	0.6624814089
25	0.6613296377
26	0.660183581
27	0.6589929822
28	0.6578579476
29	0.6567459789
30	0.6556242659
31	0.6545090495
32	0.6533961252
33	0.6522887143
34	0.6511867882
35	0.6500903183
36	0.6490011886
37	0.6479248687
38	0.6468444629
39	0.645769401
40	0.6446172427
41	0.6435554026
42	0.6425156628
43	0.6414678058
44	0.6404185391
45	0.6393863068
46	0.6383575736
47	0.6373235949
48	0.636292176
49	0.6352292672
50	0.6342103457
51	0.6331964455
52	0.6322014469
53	0.6312059724
54	0.6302095253
55	0.6292179233
56	0.6281226392
57	0.6270618779
58	0.6260819176
59	0.6251067725
60	0.6241364171
61	0.6231722638
62	0.6222165913
63	0.6211750151
64	0.6201795789
65	0.619234491
66	0.6183036359
67	0.6173701692
68	0.6164368082
69	0.6154145246
70	0.6143888583
71	0.6134746259
72	0.6125591927
73	0.6116476592
74	0.6107467782
75	0.6098458349
76	0.6088511663
77	0.6078547036
78	0.6069655394
79	0.6059676056
80	0.6050870419
81	0.6042107635
82	0.6032542577
83	0.6023882876
84	0.601524866
85	0.6006703026
86	0.599731048
87	0.5988796487
88	0.5980482837
89	0.5972049991
90	0.5963724078
91	0.59544413
92	0.5946150126
93	0.593789495
94	0.5929735222
95	0.5921633317
96	0.5913521729
97	0.5905433875
98	0.5897357062
99	0.5889274364
100	0.5881360361
101	0.5873442931
102	0.5865078137
103	0.5857188937
104	0.5849361493
105	0.5840669355
106	0.583296939
107	0.582434521
108	0.5816688181
109	0.5809018777
110	0.580042711
111	0.5792423325
112	0.578486285
113	0.5777298824
114	0.5768839735
115	0.5761355512
116	0.5753007969
117	0.5745143424
118	0.5737795215
119	0.5730486093
120	0.5723297861
121	0.5716158066
122	0.5708007789
123	0.5700437369
124	0.5693273092
125	0.5686161346
126	0.5679100302
127	0.5672055713
128	0.5665069016
129	0.5658064285
130	0.5650143343
131	0.5643237514
132	0.563631612
133	0.5628642654
134	0.5620892834
135	0.5613376588
136	0.5606619277
137	0.5598936899
138	0.5592273543
139	0.5584828692
140	0.5578196007
141	0.5571602844
142	0.5565038098
143	0.555851779
144	0.5552029819
145	0.554555043
146	0.5539101122
147	0.55317332
148	0.5524548646
149	0.5518201398
150	0.551185198
151	0.5505511186
152	0.5499255485
153	0.5493011325
154	0.548680031
155	0.5480613067
156	0.5474454584
157	0.5468324707
158	0.5462229891
159	0.5455215651
160	0.5448268798
161	0.5442269642
162	0.5436279473
163	0.5429384802
164	0.5423540743
165	0.5417575042
166	0.5411452917
167	0.5405616711
168	0.5399869
169	0.5393814469
170	0.5388087574
171	0.5382310908
172	0.537653357
173	0.5370871869
174	0.5365370855
175	0.5359740215
176	0.5354138059
177	0.5347692176
178	0.5342211454
179	0.5336808807
180	0.5331203105
181	0.5325723563
182	0.5320259021
183	0.5314806161
184	0.5309379205
185	0.5303053715
186	0.5297675895
187	0.529232251
188	0.5286993432
189	0.5280821513
190	0.5275476312
191	0.5269415329
192	0.5264180623
193	0.5259000745
194	0.5252969184
195	0.524781067
196	0.5241950162
197	0.5236901241
198	0.523180384
199	0.522672939
200	0.5221691192
201	0.5216673785
202	0.5211680292
203	0.5206695886
204	0.5201048274
205	0.5196120649
206	0.5191200615
207	0.5186238678
208	0.5181368605
209	0.5175639934
210	0.5170797962
211	0.516598626
212	0.5161240881
213	0.5156470886
214	0.5151722116
215	0.5146997794
216	0.5142304781
217	0.5137634746
218	0.5132982947
219	0.5128334202
220	0.5123726146
221	0.5119092048
222	0.511376887
223	0.5109143341
224	0.5104597391
225	0.5100071492
226	0.5094714832
227	0.5090164378
228	0.5085697249
229	0.5081249761
230	0.5076842216
231	0.5071663627
232	0.5066496261
233	0.5062058197
234	0.5056851865
235	0.5051668144
236	0.5047411336
237	0.5042950158
238	0.5038569608
239	0.5034306552
240	0.5029613188
241	0.5025399912
242	0.5021147839
243	0.5016975529
244	0.5012022621
245	0.5007623398
246	0.5003441248
247	0.4998919184
248	0.4994816168
249	0.4990730906
250	0.4986205259
251	0.4981668412
252	0.4977634067
253	0.4973586798
254	0.4969126095
255	0.4965159565
256	0.4961212522
257	0.4957276841
258	0.4952525072
259	0.4948516709
260	0.4944169584
261	0.4940286007
262	0.4936407126
263	0.4932256597
264	0.4928411878
265	0.4924575506
266	0.4920820778
267	0.4916926248
268	0.4912293656
269	0.4908454978
270	0.4904714611
271	0.4900038909
272	0.4896368385
273	0.4891834184
274	0.4888172229
275	0.4884452964
276	0.4880804349
277	0.4877167268
278	0.4872692599
279	0.4868644604
280	0.4865032896
281	0.4861414723
282	0.4857408236
283	0.4853863042
284	0.4850122351
285	0.4846613006
286	0.484311205
287	0.4839612222
288	0.4835287006
289	0.4831828688
290	0.4828388627
291	0.4824958797
292	0.4821543296
293	0.4818144247
294	0.4814697414
295	0.4811300235
296	0.4807462304
297	0.4804094475
298	0.480077297
299	0.4797472614
300	0.4793334649
301	0.4790043148
302	0.4786765285
303	0.4783426486
304	0.4780179302
305	0.4776931944
306	0.477368657
307	0.4769648883
308	0.4766460278
309	0.4763286668
310	0.4760114597
311	0.4756952154
312	0.4752984713
313	0.4749021535
314	0.4745077066
315	0.4741146935
316	0.473761203
317	0.4733765702
318	0.4730686461
319	0.4727627262
320	0.4724624266
321	0.4721476172
322	0.4718444053
323	0.4714458305
324	0.4711448737
325	0.4707991845
326	0.4704982153
327	0.4702019113
328	0.4698273614
329	0.46953432
330	0.4691600189
331	0.4688684611
332	0.468563388
333	0.4681923273
334	0.467882404
335	0.4675123486
336	0.4672233017
337	0.4669378662
338	0.466654233
339	0.4663657344
340	0.4660794365
341	0.4657991741
342	0.465463901
343	0.4651051429
344	0.4648076547
345	0.4644824758
346	0.4641462137
347	0.463863949
348	0.4635178226
349	0.4631621794
350	0.4628914423
351	0.4626217826
352	0.4623531952
353	0.4620686749
354	0.4617278019
355	0.4613846254
356	0.4610375224
357	0.4607193033
358	0.4604453108
359	0.4601068552
360	0.4598464615
361	0.4595054693
362	0.4592472872
363	0.4589877823
364	0.458731389
365	0.4584760043
366	0.4582216236
367	0.4579572688
368	0.4576260251
369	0.4572989344
370	0.4570484447
371	0.4567273055
372	0.456464434
373	0.4562150063
374	0.4558933433
375	0.4555763084
376	0.4553315256
377	0.4550860103
378	0.454840721
379	0.4545821268
380	0.4543402976
381	0.4540219599
382	0.4537827031
383	0.4535458246
384	0.4532326479
385	0.4529232679
386	0.4526876548
387	0.4523779066
388	0.4521448226
389	0.4518176321
390	0.4515188845
391	0.4512864863
392	0.4509812781
393	0.4506734082
394	0.4503525832
395	0.4501253529
396	0.4498264903
397	0.4495251977
398	0.4492894684
399	0.4489989257
400	0.4487371206
401	0.4485142508
402	0.4482403963
403	0.4480010877
404	0.4477806705
405	0.4474921122
406	0.447202698
407	0.4469847302
408	0.4467580586
409	0.4465417028
410	0.4462570665
411	0.4459687346
412	0.4456875284
413	0.44546055
414	0.445177845
415	0.4449661298
416	0.4446881951
417	0.4444095269
418	0.4442001431
419	0.4439915483
420	0.4437850618
421	0.4435433182
422	0.44329733
423	0.4430265087
424	0.4427531704
425	0.4425491076
426	0.4422711159
427	0.442068531
428	0.4418667039
429	0.4416661845
430	0.441450208
431	0.4411842498
432	0.4408978401
433	0.4406869858
434	0.4404866166
435	0.4402231074
436	0.440026545
437	0.4397647801
438	0.4395702185
439	0.4393770322
440	0.4391176972
441	0.438918061
442	0.4386900401
443	0.4384572191
444	0.4381974012
445	0.4380070621
446	0.437818071
447	0.4376297764
448	0.4374421751
449	0.437255264
450	0.4370090201
451	0.4367550349
452	0.4365003032
453	0.4363159797
454	0.4360673718
455	0.4358825739
456	0.4356387415
457	0.4354463871
458	0.4352653393
459	0.4349904316
460	0.4348040506
461	0.4345862018
462	0.4344076995
463	0.4342298467
464	0.4339871936
465	0.4338106079
466	0.4335681165
467	0.4333276498
468	0.4330897218
469	0.4329155859
470	0.4326566598
471	0.4324812466
472	0.4323062261
473	0.4320671191
474	0.4318958096
475	0.4317252939
476	0.431477576
477	0.4313082005
478	0.4311398868
479	0.4309041632
480	0.4306911772
481	0.4305236195
482	0.4302952226
483	0.4300293158
484	0.429803516
485	0.4295759478
486	0.4293284119
487	0.4291457776
488	0.4289237086
489	0.4286985435
490	0.4284780085
491	0.428284455
492	0.428123661
493	0.4279013681
494	0.427683683
495	0.4275186309
496	0.4273348174
497	0.4271163852
498	0.4269579384
499	0.4267211015
500	0.4264837454
501	0.4262712418
502	0.4261094171
503	0.42589406
504	0.4257080117
505	0.4255541538
506	0.4253758235
507	0.4251641886
508	0.4250020337
509	0.4247546459
510	0.4245454742
511	0.4243285087
512	0.4241367854
513	0.4239869955
514	0.4238054808
515	0.4236571559
516	0.4234310524
517	0.4232256638
518	0.4230292658
519	0.422823323
520	0.4226473865
521	0.4224431081
522	0.4222453351
523	0.422041172
524	0.4218968359
