iter	Passed	Remaining
0	68	68131
1	84	42387
2	91	30534
3	105	26222
4	112	22464
5	118	19625
6	191	27215
7	267	33202
8	282	31121
9	301	29874
10	316	28430
11	356	29330
12	373	28378
13	457	32207
14	475	31235
15	492	30266
16	510	29499
17	611	33342
18	667	34466
19	739	36255
20	784	36585
21	795	35380
22	806	34246
23	811	33001
24	867	33841
25	879	32931
26	896	32303
27	982	34113
28	1001	33529
29	1072	34682
30	1091	34131
31	1124	34005
32	1135	33260
33	1141	32421
34	1149	31697
35	1165	31213
36	1193	31064
37	1245	31522
38	1256	30959
39	1267	30411
40	1375	32174
41	1417	32322
42	1524	33934
43	1645	35761
44	1665	35338
45	1770	36723
46	1872	37972
47	1894	37580
48	1929	37441
49	2012	38244
50	2040	37962
51	2053	37441
52	2176	38889
53	2233	39122
54	2251	38680
55	2266	38207
56	2282	37764
57	2443	39681
58	2463	39294
59	2474	38772
60	2480	38190
61	2582	39074
62	2611	38842
63	2715	39706
64	2791	40151
65	2812	39802
66	2904	40452
67	2937	40262
68	2944	39732
69	3029	40243
70	3062	40072
71	3092	39864
72	3102	39398
73	3115	38980
74	3141	38743
75	3164	38472
76	3215	38539
77	3251	38433
78	3309	38583
79	3343	38451
80	3352	38035
81	3358	37597
82	3439	38001
83	3462	37756
84	3482	37487
85	3513	37337
86	3557	37337
87	3569	36990
88	3628	37136
89	3641	36818
90	3671	36670
91	3728	36797
92	3746	36538
93	3778	36414
94	3799	36199
95	3833	36098
96	3855	35892
97	3876	35681
98	3884	35352
99	3916	35251
100	3965	35293
101	3987	35109
102	4048	35257
103	4065	35022
104	4078	34763
105	4136	34886
106	4202	35073
107	4292	35453
108	4351	35568
109	4360	35282
110	4450	35644
111	4475	35484
112	4481	35181
113	4499	34972
114	4520	34788
115	4534	34552
116	4582	34580
117	4611	34466
118	4618	34189
119	4638	34018
120	4683	34024
121	4757	34241
122	4786	34130
123	4857	34315
124	4910	34372
125	4921	34141
126	4947	34009
127	4956	33765
128	4966	33536
129	5032	33679
130	5059	33563
131	5143	33819
132	5171	33711
133	5240	33865
134	5280	33837
135	5355	34022
136	5371	33838
137	5382	33623
138	5403	33469
139	5473	33620
140	5489	33443
141	5520	33358
142	5567	33366
143	5584	33198
144	5596	32998
145	5609	32810
146	5616	32592
147	5629	32408
148	5700	32560
149	5723	32435
150	5738	32263
151	5770	32193
152	5785	32029
153	5791	31816
154	5855	31923
155	5870	31760
156	5875	31548
157	5881	31342
158	5892	31169
159	5908	31017
160	6012	31334
161	6044	31267
162	6057	31107
163	6072	30956
164	6151	31128
165	6180	31049
166	6210	30976
167	6226	30836
168	6254	30752
169	6321	30864
170	6398	31018
171	6425	30933
172	6446	30817
173	6467	30700
174	6530	30784
175	6551	30671
176	6570	30551
177	6641	30668
178	6714	30794
179	6783	30902
180	6832	30915
181	6997	31449
182	7042	31441
183	7068	31347
184	7076	31173
185	7087	31015
186	7094	30843
187	7100	30666
188	7105	30487
189	7133	30409
190	7175	30392
191	7258	30545
192	7276	30423
193	7324	30432
194	7376	30451
195	7393	30329
196	7462	30419
197	7517	30450
198	7529	30305
199	7534	30136
200	7546	29997
201	7592	29992
202	7610	29879
203	7616	29720
204	7691	29826
205	7734	29812
206	7749	29688
207	7762	29556
208	7774	29425
209	7796	29330
210	7818	29234
211	7826	29089
212	7943	29348
213	7958	29232
214	7964	29078
215	7983	28975
216	8005	28885
217	8031	28810
218	8096	28873
219	8133	28836
220	8147	28718
221	8191	28706
222	8244	28725
223	8280	28684
224	8289	28551
225	8294	28406
226	8362	28478
227	8393	28419
228	8401	28287
229	8407	28146
230	8439	28096
231	8487	28097
232	8566	28199
233	8656	28336
234	8732	28428
235	8808	28515
236	8887	28611
237	8961	28691
238	9042	28792
239	9060	28693
240	9089	28626
241	9104	28517
242	9180	28600
243	9219	28565
244	9295	28645
245	9351	28662
246	9400	28658
247	9474	28728
248	9490	28624
249	9496	28490
250	9515	28395
251	9580	28437
252	9596	28334
253	9617	28246
254	9650	28194
255	9672	28110
256	9753	28197
257	9799	28183
258	9875	28255
259	9929	28260
260	10002	28320
261	10020	28226
262	10053	28172
263	10129	28239
264	10151	28155
265	10170	28063
266	10246	28129
267	10334	28227
268	10366	28170
269	10394	28103
270	10402	27983
271	10466	28013
272	10540	28069
273	10589	28058
274	10613	27981
275	10681	28020
276	10697	27921
277	10711	27819
278	10796	27900
279	10886	27993
280	10910	27918
281	10944	27865
282	11024	27931
283	11040	27835
284	11067	27766
285	11084	27671
286	11090	27552
287	11119	27490
288	11209	27577
289	11228	27491
290	11277	27477
291	11288	27371
292	11294	27252
293	11379	27325
294	11433	27323
295	11469	27278
296	11540	27316
297	11562	27237
298	11574	27136
299	11596	27057
300	11629	27006
301	11639	26901
302	11644	26785
303	11657	26689
304	11718	26702
305	11738	26623
306	11757	26540
307	11778	26464
308	11792	26369
309	11814	26296
310	11821	26189
311	11833	26094
312	11910	26142
313	11934	26073
314	11979	26049
315	12000	25975
316	12016	25889
317	12088	25926
318	12124	25882
319	12133	25782
320	12171	25745
321	12208	25706
322	12229	25632
323	12316	25696
324	12346	25643
325	12420	25679
326	12445	25613
327	12458	25525
328	12480	25453
329	12496	25372
330	12531	25327
331	12547	25245
332	12611	25260
333	12650	25225
334	12723	25258
335	12829	25352
336	12853	25287
337	12866	25200
338	12873	25101
339	12895	25032
340	12927	24983
341	12936	24889
342	13017	24935
343	13093	24968
344	13132	24933
345	13214	24978
346	13297	25023
347	13396	25099
348	13481	25148
349	13572	25205
350	13589	25127
351	13595	25028
352	13601	24929
353	13625	24865
354	13716	24921
355	13803	24970
356	13881	25002
357	13956	25027
358	14016	25025
359	14040	24960
360	14049	24869
361	14121	24888
362	14149	24830
363	14168	24755
364	14175	24660
365	14180	24563
366	14186	24468
367	14222	24426
368	14305	24463
369	14335	24408
370	14342	24317
371	14384	24284
372	14450	24290
373	14482	24240
374	14506	24178
375	14561	24165
376	14576	24087
377	14623	24063
378	14707	24098
379	14759	24080
380	14780	24013
381	14876	24067
382	14901	24006
383	14999	24061
384	15036	24018
385	15069	23970
386	15084	23892
387	15154	23903
388	15188	23856
389	15289	23915
390	15376	23949
391	15418	23914
392	15503	23945
393	15636	24050
394	15737	24103
395	15758	24035
396	15771	23955
397	15838	23957
398	15922	23983
399	16025	24038
400	16105	24058
401	16122	23982
402	16185	23977
403	16287	24027
404	16304	23953
405	16399	23993
406	16477	24008
407	16500	23942
408	16582	23961
409	16598	23885
410	16705	23939
411	16797	23973
412	16894	24012
413	16946	23986
414	17046	24028
415	17063	23954
416	17141	23964
417	17181	23923
418	17190	23837
419	17197	23749
420	17263	23741
421	17343	23755
422	17409	23747
423	17510	23787
424	17561	23760
425	17576	23683
426	17652	23688
427	17673	23620
428	17680	23532
429	17722	23493
430	17792	23489
431	17817	23426
432	17892	23430
433	17924	23375
434	17970	23340
435	17991	23272
436	18006	23198
437	18019	23121
438	18025	23034
439	18061	22987
440	18077	22914
441	18106	22858
442	18224	22914
443	18305	22923
444	18392	22939
445	18423	22884
446	18432	22803
447	18438	22718
448	18443	22632
449	18448	22548
450	18522	22546
451	18608	22560
452	18703	22584
453	18722	22516
454	18735	22441
455	18782	22407
456	18864	22413
457	18906	22373
458	18915	22294
459	18987	22289
460	19012	22229
461	19024	22154
462	19030	22072
463	19036	21989
464	19064	21934
465	19073	21857
466	19120	21822
467	19196	21822
468	19252	21797
469	19264	21723
470	19333	21713
471	19380	21680
472	19416	21633
473	19486	21623
474	19507	21560
475	19513	21481
476	19590	21479
477	19613	21418
478	19625	21346
479	19695	21337
480	19773	21335
481	19795	21273
482	19808	21203
483	19881	21195
484	19921	21153
485	19974	21125
486	20054	21125
487	20133	21123
488	20192	21100
489	20275	21102
490	20361	21107
491	20383	21046
492	20390	20969
493	20410	20906
494	20479	20893
495	20559	20890
496	20650	20899
497	20703	20870
498	20737	20820
499	20770	20770
500	20856	20773
501	20933	20766
502	21014	20764
503	21111	20776
504	21140	20722
505	21155	20653
506	21237	20651
507	21268	20598
508	21282	20530
509	21377	20538
510	21405	20483
511	21482	20475
512	21579	20485
513	21599	20423
514	21661	20399
515	21680	20335
516	21750	20320
517	21792	20277
518	21827	20229
519	21890	20206
520	21966	20195
521	22021	20165
522	22117	20171
523	22174	20143
524	22191	20078
525	22306	20101
526	22339	20050
527	22390	20016
528	22502	20035
529	22542	19990
530	22551	19918
531	22570	19855
532	22578	19782
533	22584	19708
534	22599	19642
535	22692	19644
536	22718	19588
537	22741	19529
538	22834	19529
539	22852	19466
540	22960	19480
541	23022	19454
542	23043	19393
543	23068	19336
544	23081	19269
545	23167	19263
546	23261	19263
547	23346	19256
548	23430	19247
549	23522	19245
550	23553	19193
551	23566	19126
552	23587	19066
553	23603	19002
554	23682	18989
555	23769	18981
556	23869	18984
557	23891	18924
558	23976	18915
559	24019	18872
560	24181	18922
561	24210	18868
562	24328	18883
563	24377	18844
564	24438	18815
565	24502	18788
566	24627	18807
567	24658	18754
568	24751	18748
569	24784	18697
570	24859	18676
571	24961	18677
572	25025	18649
573	25108	18634
574	25219	18640
575	25254	18590
576	25332	18571
577	25425	18563
578	25507	18547
579	25588	18529
580	25677	18517
581	25770	18508
582	25786	18444
583	25855	18417
584	25986	18434
585	26002	18370
586	26033	18316
587	26055	18256
588	26127	18231
589	26215	18217
590	26232	18154
591	26317	18137
592	26385	18109
593	26416	18055
594	26471	18018
595	26552	17998
596	26637	17981
597	26723	17964
598	26813	17950
599	26904	17936
600	26932	17880
601	27009	17856
602	27103	17844
603	27194	17829
604	27275	17807
605	27295	17746
606	27327	17692
607	27424	17681
608	27459	17629
609	27481	17570
610	27506	17512
611	27579	17484
612	27666	17466
613	27752	17446
614	27841	17429
615	27931	17411
616	27977	17366
617	28052	17339
618	28144	17323
619	28164	17262
620	28246	17238
621	28282	17187
622	28361	17162
623	28458	17148
624	28474	17084
625	28548	17056
626	28581	17002
627	28657	16975
628	28736	16949
629	28825	16929
630	28911	16907
631	28946	16854
632	29052	16844
633	29138	16821
634	29194	16781
635	29272	16753
636	29353	16727
637	29434	16701
638	29515	16674
639	29533	16612
640	29601	16578
641	29625	16520
642	29658	16466
643	29780	16462
644	29807	16405
645	29884	16376
646	29970	16352
647	30057	16327
648	30159	16311
649	30298	16314
650	30326	16258
651	30420	16236
652	30515	16215
653	30542	16158
654	30636	16136
655	30673	16085
656	30750	16053
657	30844	16031
658	30871	15974
659	30955	15947
660	30985	15891
661	31085	15871
662	31108	15812
663	31200	15788
664	31276	15755
665	31375	15734
666	31406	15679
667	31414	15613
668	31502	15586
669	31610	15569
670	31716	15550
671	31744	15494
672	31844	15472
673	31937	15447
674	32024	15419
675	32123	15396
676	32222	15373
677	32309	15344
678	32403	15318
679	32502	15295
680	32601	15271
681	32700	15247
682	32789	15218
683	32896	15197
684	33000	15175
685	33051	15128
686	33141	15099
687	33238	15073
688	33337	15048
689	33429	15018
690	33465	14965
691	33546	14931
692	33645	14904
693	33755	14883
694	33864	14861
695	33971	14838
696	34091	14820
697	34206	14799
698	34354	14793
699	34414	14748
700	34536	14731
701	34663	14714
702	34780	14694
703	34817	14639
704	34912	14608
705	35032	14588
706	35132	14559
707	35246	14536
708	35359	14512
709	35472	14488
710	35519	14437
711	35529	14371
712	35620	14338
713	35730	14312
714	35761	14254
715	35786	14194
716	35901	14170
717	36015	14145
718	36103	14110
719	36200	14077
720	36290	14043
721	36415	14021
722	36522	13992
723	36625	13962
724	36729	13932
725	36828	13899
726	36927	13867
727	37076	13852
728	37215	13834
729	37358	13817
730	37394	13760
731	37509	13732
732	37643	13711
733	37791	13695
734	37863	13651
735	37973	13620
736	38105	13598
737	38226	13570
738	38368	13550
739	38499	13526
740	38644	13507
741	38810	13494
742	38964	13477
743	39094	13451
744	39247	13433
745	39433	13426
746	39586	13407
747	39687	13370
748	39830	13347
749	39924	13308
750	40049	13278
751	40181	13251
752	40303	13220
753	40395	13179
754	40489	13139
755	40590	13100
756	40711	13068
757	40823	13033
758	40941	12999
759	41041	12960
760	41131	12917
761	41231	12878
762	41324	12835
763	41418	12794
764	41513	12752
765	41615	12712
766	41714	12672
767	41810	12630
768	41922	12593
769	42036	12556
770	42141	12516
771	42246	12476
772	42345	12435
773	42440	12392
774	42543	12351
775	42661	12314
776	42758	12271
777	42859	12229
778	42946	12183
779	43032	12137
780	43126	12093
781	43222	12049
782	43316	12004
783	43402	11957
784	43490	11911
785	43579	11865
786	43671	11819
787	43791	11781
788	43882	11735
789	43974	11689
790	44067	11643
791	44173	11601
792	44313	11567
793	44463	11535
794	44612	11503
795	44737	11465
796	44861	11426
797	44970	11383
798	45089	11342
799	45225	11306
800	45363	11270
801	45488	11230
802	45603	11187
803	45710	11143
804	45855	11107
805	46005	11073
806	46144	11035
807	46273	10995
808	46412	10957
809	46559	10921
810	46712	10886
811	46833	10843
812	46971	10804
813	47098	10762
814	47221	10718
815	47376	10682
816	47502	10640
817	47605	10591
818	47701	10542
819	47792	10491
820	47879	10438
821	47968	10387
822	48079	10340
823	48244	10304
824	48368	10260
825	48509	10218
826	48647	10176
827	48751	10127
828	48864	10079
829	48968	10029
830	49081	9981
831	49191	9932
832	49301	9883
833	49407	9834
834	49498	9781
835	49614	9733
836	49726	9683
837	49832	9633
838	49945	9584
839	50059	9535
840	50175	9486
841	50295	9437
842	50421	9390
843	50576	9348
844	50720	9303
845	50879	9261
846	51030	9218
847	51144	9167
848	51264	9117
849	51363	9064
850	51469	9011
851	51564	8957
852	51766	8921
853	51901	8873
854	52048	8826
855	52175	8777
856	52313	8729
857	52410	8674
858	52518	8620
859	52630	8567
860	52731	8513
861	52839	8459
862	52938	8403
863	53026	8346
864	53119	8290
865	53213	8233
866	53303	8176
867	53397	8120
868	53516	8067
869	53664	8018
870	53793	7967
871	53901	7912
872	53989	7854
873	54086	7797
874	54185	7740
875	54275	7682
876	54376	7626
877	54492	7571
878	54599	7516
879	54697	7458
880	54785	7400
881	54878	7341
882	54963	7282
883	55049	7223
884	55140	7165
885	55261	7110
886	55365	7053
887	55487	6998
888	55606	6943
889	55714	6886
890	55825	6829
891	55936	6772
892	56056	6716
893	56198	6663
894	56326	6608
895	56436	6550
896	56561	6494
897	56668	6436
898	56789	6380
899	56909	6323
900	57012	6264
901	57114	6205
902	57217	6146
903	57321	6087
904	57421	6027
905	57509	5966
906	57623	5908
907	57716	5847
908	57819	5788
909	57949	5731
910	58053	5671
911	58156	5611
912	58275	5553
913	58382	5493
914	58509	5435
915	58667	5379
916	58770	5319
917	58881	5259
918	58976	5198
919	59076	5137
920	59182	5076
921	59276	5014
922	59379	4953
923	59475	4891
924	59582	4831
925	59703	4771
926	59814	4710
927	59924	4649
928	60036	4588
929	60132	4526
930	60246	4465
931	60370	4404
932	60512	4345
933	60674	4287
934	60791	4226
935	60905	4164
936	61006	4101
937	61106	4039
938	61205	3976
939	61312	3913
940	61404	3850
941	61499	3786
942	61602	3723
943	61749	3663
944	61900	3602
945	62001	3539
946	62126	3476
947	62241	3414
948	62341	3350
949	62447	3286
950	62549	3222
951	62653	3158
952	62767	3095
953	62858	3030
954	62969	2967
955	63089	2903
956	63216	2840
957	63339	2776
958	63445	2712
959	63539	2647
960	63640	2582
961	63735	2517
962	63828	2452
963	63913	2386
964	64006	2321
965	64107	2256
966	64198	2190
967	64293	2125
968	64392	2060
969	64485	1994
970	64581	1928
971	64675	1863
972	64766	1797
973	64886	1732
974	64974	1666
975	65052	1599
976	65134	1533
977	65223	1467
978	65308	1400
979	65418	1335
980	65510	1268
981	65603	1202
982	65702	1136
983	65797	1069
984	65888	1003
985	65994	937
986	66088	870
987	66180	803
988	66269	737
989	66354	670
990	66444	603
991	66538	536
992	66631	469
993	66722	402
994	66816	335
995	66896	268
996	66984	201
997	67091	134
998	67214	67
999	67300	0
